Job_Requisition_ID,Job_Posting_Title,Job_Description,Job_Description_Summary,Additional_Job_Description,Country,Work_Location,Recruiting_Start_Date,Target_Hire_Date,Target_End_Date,Number_of_Openings,Directorate,External_Apply_URL,Worker_Type
R-21,Senior Market Manager,"<p>1. Create strategy for attract and managing pipeline of partners to assist business development in the acquisition/activation by products (hotel/transportation/event/etc) or by channel business in tiket.com (large scale).<br />2. Create strategy for providing the best products (hotel/transportation/etc) for tiket.com customers, starting from market and competitors analysis, vendor acquisitions to operations.<br />3. Create cost analysis, ROI, and suggestion.<br />4. Define guideline and standard to ensure all operational activities of commercial team.<br />5. Do team development activities such as workload analysis, coaching and mentoring.</p>",Responsible for providing the best offer for tiket.com customer.,,Indonesia,Bandung Office,19-Jan-2020,27-Jan-2020,,1,Commercial (Dimas Surya Yaputra),,EE
R-210,Ancillary Supervisor,"1. Responsible for managing pipeline of partners to assist business development in the acquisition/activation by products (hotel/transportation/event/etc) or by channel business in tiket.com (particular scope).
2. Responsible for providing the best products (hotel/transportation/etc) for tiket.com customers, starting from market and competitors analysis, vendor acquisitions to operations.
3. Responsible for ensuring all operational activities of commercial team run according to the procedure and target by create planning and strategy.
4. Do team development activities such as coaching and mentoring.
5. Cost analysis and short term plan",Responsible for providing the best offer for tiket.com customer.,,Indonesia,Headquarters,25-Feb-2020,31-Mar-2020,,1,Commercial (Dimas Surya Yaputra),https://tiketdotcom.wd3.myworkdayjobs.com/Tiket_Careers/job/Headquarters/Ancillary-Supervisor_R-210/apply,EE
R-211,Account Manager,"1. Responsible for managing pipeline of partners to assist business development in the acquisition/activation by products (hotel/transportation/event/etc) or by channel business in tiket.com (particular scope).
2. Responsible for providing the best products (hotel/transportation/etc) for tiket.com customers, starting from market and competitors analysis, vendor acquisitions to operations.
3. Responsible for ensuring all operational activities of commercial team run according to the procedure and target by create planning and strategy.
4. Do team development activities such as coaching and mentoring.",Responsible for providing the best offer for tiket.com customer.,,Indonesia,Headquarters,25-Feb-2020,31-Mar-2020,,1,Commercial (Dimas Surya Yaputra),https://tiketdotcom.wd3.myworkdayjobs.com/Tiket_Careers/job/Headquarters/Account-Manager_R-211/apply,EE
R-212,Account Executive,"1. Responsible for managing pipeline of partners to assist business development in the acquisition/activation by products (hotel/transportation/event/etc) or by channel business in tiket.com (particular scope).
2. Responsible for providing the best products (hotel/transportation/etc) for tiket.com customers, starting from market and competitors analysis, vendor acquisitions to operations.",Responsible for providing the best offer for tiket.com customer.,,Indonesia,Headquarters,25-Feb-2020,31-Mar-2020,,1,Commercial (Dimas Surya Yaputra),https://tiketdotcom.wd3.myworkdayjobs.com/Tiket_Careers/job/Headquarters/Account-Executive_R-212/apply,EE
R-213,Account Executive,"1. Responsible for managing pipeline of partners to assist business development in the acquisition/activation by products (hotel/transportation/event/etc) or by channel business in tiket.com (particular scope).
2. Responsible for providing the best products (hotel/transportation/etc) for tiket.com customers, starting from market and competitors analysis, vendor acquisitions to operations.",Responsible for providing the best offer for tiket.com customer.,,Indonesia,Headquarters,25-Feb-2020,31-Mar-2020,,1,Commercial (Dimas Surya Yaputra),https://tiketdotcom.wd3.myworkdayjobs.com/Tiket_Careers/job/Headquarters/Account-Executive_R-213/apply,EE
R-216,Market Executive,"<p>1. Responsible for managing pipeline of partners to assist business development in the acquisition/activation by products (hotel/transportation/event/etc) or by channel business in tiket.com (particular scope).<br />2. Responsible for providing the best products (hotel/transportation/etc) for tiket.com customers, starting from market and competitors analysis, vendor acquisitions to operations.</p>",Responsible for providing the best offer for tiket.com customer.,,Indonesia,Headquarters,25-Feb-2020,02-Mar-2020,01-Mar-2021,1,Commercial (Dimas Surya Yaputra),,EE
R-219,Compliance & Risk Manager,"<ul><li>Plans, designs and implements an overall risk management process for the organization;</li><li>Conducts risk assessment, which involves analyzing risks as well as identifying, describing and estimate the risks affecting the organization;</li><li>Prepares risk evaluation , which involves comparing estimated risks with criteria established by the organization such as costs, legal requirements and environmental factors and evaluating the organization’s ‘risk appetite’, i.e. the level of risk they are prepared to accept;</li><li>Prepares risk reporting in an appropriate way for different audiences, for example, to the Executive Committee or the Board of Trustees, so they understand the most significant risks, to business heads to ensure they are aware of risks relevant to their parts of the business and to individuals to understand their accountability for individual risks;</li><li>Handles corporate governance involving external risk reporting to stakeholders;</li></ul>","The Risk and Compliance Manager works with the organization to advise Management of any
potential risks that may affect the reputation, safety, security, financial sustainability and
existence of the organization. He is expected to provide a better assessment of the risk
management policies and protocols in order to come up with policies and recommendations to
avoid threats, reduce or transfer risks and/or mitigate the effects of those which are essentially
unavoidable. The responsibility includes managing the risks associated to the organization,
employees, customers, reputation, assets and interests of stakeholders. As such he will be
working in a variety of sections and specialize in a number of areas including:",,Indonesia,Headquarters,04-Mar-2020,05-Mar-2020,,1,Operations (George Hendrata (Inherited)),,EE
R-220,Salesforce Engineer Lead,"<p>Responsibilities<br />• Manage Salesforce developer team<br />• Help us to interact with our customers better with Salesforce<br />• Analyse and review business, functional, and technical requirements -Build the application based<br />• on technical specifications<br />• Configuration of the modules<br />• Customization using code (Apex, lightning)<br />• Reviewing code quality<br />• Plan and execute internal Unit testing and integration testing<br />• Prepare test data, plan and conduct basic unit or module testing<br />• Perform the deployment of the application<br />• Empower our Customer Care and sales team by developing best in class features in Salesforce<br />• Improve Salesforce usage across the company<br />• Extract important data as reports to guide the business<br />• Ability to be dynamic and flexible in light of changing circumstances and adapt strategies and<br />• activities accordingly.<br />• Self-starter with high level of personal organization, attention to detail, assertiveness, tenacity<br />• and integrity.</p><p></p><p><br />Requirements<br />• Requires 5 years of experience in IT<br />• Strong oral and written communication skills<br />• Certified Salesforce Developer<br />• Have built interactive UIs on Salesforce, in either classic or lightning mode. Knowledge of the<br />Lightning framework is a plus<br />• Experience with creating dashboards, handling migrations, new development<br />• Apart from being able to write Apex classes, triggers, etc,<br />• The candidate should be well versed with tools such as process builder, data loader, Salesforce<br />DX and able to make changes to the data model<br />• Proven experience with technologies integrate to Salesforce including: HTML/CSS, Java, jQuery,<br />JavaScript, SQL</p>",To develop software solution to support tiket.com to be the most customer centric OTA,,Indonesia,GNT Office,04-Mar-2020,31-Des-2020,,1,Operations (George Hendrata (Inherited)),https://tiketdotcom.wd3.myworkdayjobs.com/Tiket_Careers/job/GNT-Office/Salesforce-Engineer--Lead_R-220/apply,EE
R-221,Salesforce Engineer Lead,"Responsible for designing, building, improving, or maintaining tiket.com products and systems and also managing a team (or teams) of engineers, growing and empowering them to accomplish great things, and ensuring that best practices, standards, and processes are adhered to.",To develop software solution to support tiket.com to be the most customer centric OTA,,Indonesia,GNT Office,04-Mar-2020,31-Des-2020,,1,Operations (George Hendrata (Inherited)),https://tiketdotcom.wd3.myworkdayjobs.com/Tiket_Careers/job/GNT-Office/Salesforce-Engineer-Lead_R-221/apply,EE
R-230,Accommodation Partnership Staff,"1. Responsible for managing pipeline of partners to assist business development in the acquisition/activation by products (hotel/transportation/event/etc) or by channel business in tiket.com (particular scope).
2. Responsible for providing the best products (hotel/transportation/etc) for tiket.com customers, starting from market and competitors analysis, vendor acquisitions to operations.",Responsible for providing the best offer for tiket.com customer.,,Indonesia,Headquarters,09-Mar-2020,10-Mar-2020,04-Mei-2021,1,Commercial (Dimas Surya Yaputra),,EE
R-244,Sr Backend Engineer,"Responsible for designing, building, improving, or maintaining web/mobile applications, third-party data integration, data API, backend/frontend systems, or working with monitoring tools and infrastructure without supervision",To develop software solution to support tiket.com to be the most customer centric OTA,,Indonesia,GNT Office,18-Mar-2020,31-Des-2020,,1,Technology (Sanjay Singh),,EE
R-245,Associate Market Manager,"<p>1. Responsible for managing pipeline of partners to assist business development in the acquisition/activation by products (hotel/transportation/event/etc) or by channel business in tiket.com (particular scope).<br />2. Responsible for providing the best products (hotel/transportation/etc) for tiket.com customers, starting from market and competitors analysis, vendor acquisitions to operations.</p>",Responsible for providing the best offer for tiket.com customer.,,Indonesia,Makasar Office,18-Mar-2020,31-Des-2020,,1,Commercial (Dimas Surya Yaputra),https://tiketdotcom.wd3.myworkdayjobs.com/Tiket_Careers/job/Makasar-Office/Associate-Market-Manager_R-245/apply,EE
R-246,Associate Market Manager Non Hotel Accommodation,"1. Responsible for managing pipeline of partners to assist business development in the acquisition/activation by products (hotel/transportation/event/etc) or by channel business in tiket.com (particular scope).
2. Responsible for providing the best products (hotel/transportation/etc) for tiket.com customers, starting from market and competitors analysis, vendor acquisitions to operations.",Responsible for providing the best offer for tiket.com customer.,,Indonesia,Bali Office,18-Mar-2020,31-Des-2020,,1,Commercial (Dimas Surya Yaputra),,EE
R-247,Finance Supervisor,"<p>1. Responsible for supervising and directing the finance functions, including general ledger, accounts payable and receivable, check processing, IRA processing, exception items, fixed asset, and cost accounting<br />2. Prepares periodic reports, reviews and reconciles data, and<br />participates in the development of specialized financial data<br />3. Oversees and prepares entries and adjustments to records, files, and statements<br />4. Assists with financial and variance analyses, board packet information, and budget preparation<br />5. Ensures that acceptable production and quality standards are maintained<br />6. Ensures that finance functions are completed in accordance with established policies and standards and related governmental<br />requirements.<br />7. Directs, trains, supervises, and assists in appraising finance personnel.</p>",Manages and supervises the work of finance staff,,Indonesia,Headquarters,24-Mar-2020,31-Mei-2020,30-Jun-2020,1,Finance & Accounting (Ronald Winardi),https://tiketdotcom.wd3.myworkdayjobs.com/Tiket_Careers/job/Headquarters/Finance-Supervisor_R-247/apply,EE
R-250,Customer Care Innovation Assistant Manager,"1. To ensure all activity in customer care comply with standard regulation or procedure.
2. To ensure and provide solution to handle customer complaint 
3. Support team to provide mid and short term planning and strategy
4. Monitor, lead, and manage the team
5. Manage budget and cost",To provide solution and improvement to increase customer satisfaction index,,Indonesia,KS Tubun Office,24-Mar-2020,06-Apr-2020,,1,Operations (George Hendrata (Inherited)),,EE
R-252,Sr Frontend Engineer,"<ul><li><span>Developing new user-facing features using React.js </span></li><li><span>Building reusable components and front-end libraries for future use</span></li><li><span>Translating designs and wireframes into high-quality code</span></li><li><span>Optimizing components for maximum performance across a vast array of web-capable devices and browsers</span></li><li><span>Create a unit, scenario, integration sanity test, etc if required</span></li><li><span>Write Documentation for your code</span></li><li><span>Doing Pair Programming with your junior</span></li><li><span>Involve in system design brainstorming</span></li></ul>",To develop software solution to support tiket.com to be the most customer centric OTA,,Indonesia,GNT Office,26-Mar-2020,31-Des-2020,,1,Technology (Sanjay Singh),https://tiketdotcom.wd3.myworkdayjobs.com/Tiket_Careers/job/GNT-Office/Sr-Frontend-Engineer_R-252/apply,EE
R-259,Backend Engineer,"Responsible for designing, building, improving, or maintaining web/mobile applications, third-party data integration, data API, backend/frontend systems, or working with monitoring tools and infrastructure with minimum supervision",To develop software solution to support tiket.com to be the most customer centric OTA,,Indonesia,GNT Office,02-Jun-2020,02-Jun-2020,,1,Technology (Sanjay Singh),,EE
R-260,iOS Engineer,"<p>Responsible for designing, building, improving, or maintaining web/mobile applications, third-party data integration, data API, backend/frontend systems, or working with monitoring tools and infrastructure without supervision</p>",To develop software solution to support tiket.com to be the most customer centric OTA,,Indonesia,Headquarters,08-Jun-2020,08-Jun-2020,,1,Technology (Sanjay Singh),,EE
R-267,Sr Backend Engineer,"Responsible for designing, building, improving, or maintaining web/mobile applications, third-party data integration, data API, backend/frontend systems, or working with monitoring tools and infrastructure without supervision",To develop software solution to support tiket.com to be the most customer centric OTA,,Indonesia,GNT Office,24-Jun-2020,29-Jun-2020,,1,Technology (Sanjay Singh),,EE
R-326,Sr Frontend Engineer,"Responsible for designing, building, improving, or maintaining web/mobile applications, third-party data integration, data API, backend/frontend systems, or working with monitoring tools and infrastructure without supervision",To develop software solution to support tiket.com to be the most customer centric OTA,,Indonesia,GNT Office,23-Sep-2020,23-Sep-2020,,1,Technology (Sanjay Singh),,EE
R-385,Finance Cash Management Supervisor,"<p>1. Responsible for supervising and directing the finance functions, including general ledger, accounts payable and receivable, check processing, IRA processing, exception items, fixed asset, and cost accounting<br />2. Prepares periodic reports, reviews and reconciles data, and<br />participates in the development of specialized financial data<br />3. Oversees and prepares entries and adjustments to records, files, and statements<br />4. Assists with financial and variance analyses, board packet information, and budget preparation<br />5. Ensures that acceptable production and quality standards are maintained<br />6. Ensures that finance functions are completed in accordance with established policies and standards and related governmental<br />requirements.<br />7. Directs, trains, supervises, and assists in appraising finance personnel.</p>",Manages and supervises the work of finance staff,,Indonesia,Headquarters,27-Nov-2020,27-Nov-2020,,1,Finance & Accounting (Ronald Winardi),,EE
R-397,Associate Market Manager Non Hotel Accommodation,"1. Responsible for managing pipeline of partners to assist business development in the acquisition/activation by products (hotel/transportation/event/etc) or by channel business in tiket.com (particular scope).
2. Responsible for providing the best products (hotel/transportation/etc) for tiket.com customers, starting from market and competitors analysis, vendor acquisitions to operations.",Responsible for providing the best offer for tiket.com customer.,,Indonesia,Headquarters,16-Des-2020,16-Des-2020,03-Jan-2022,1,Commercial (Dimas Surya Yaputra),,EE
R-405,Associate Market Manager - NHA,"<p>1. Responsible for managing pipeline of partners to assist business development in the acquisition/activation by products (hotel/transportation/event/etc) or by channel business in tiket.com (particular scope).<br />2. Responsible for providing the best products (hotel/transportation/etc) for tiket.com customers, starting from market and competitors analysis, vendor acquisitions to operations.</p>",Responsible for providing the best offer for tiket.com customer.,,Indonesia,Bali Office,30-Des-2020,30-Des-2020,03-Jan-2022,1,Commercial (Dimas Surya Yaputra),,EE
R-418,Frontend Engineer,"<p>Responsible for designing, building, improving, or maintaining web/mobile applications, third-party data integration, data API, backend/frontend systems, or working with monitoring tools and infrastructure with minimum supervision</p>",To develop software solution to support tiket.com to be the most customer centric OTA,,Indonesia,GNT Office,12-Jan-2021,12-Jan-2021,,1,Technology (Sanjay Singh),,EE
R-470,Digital Branding Sr Specialist,"<p>Design digital media campaigns aligned with business goals<br />Coordinate the creation of digital content (e.g. website, blogs, press releases and podcasts)<br />Manage end-to-end digital projects<br />Establish our web presence to boost brand awareness<br />Maintain a strong online company voice through social media<br />Liaise with Marketing, Sales and Product development teams to ensure brand consistency<br />Suggest and implement direct marketing methods to increase profitability</p>","Design digital media campaigns aligned with business goals
Coordinate the creation of digital content (e.g. website, blogs, press releases and podcasts)
Manage end-to-end digital projects
Establish our web presence to boost brand awareness
Maintain a strong online company voice through social media
Liaise with Marketing, Sales and Product development teams to ensure brand consistency
Suggest and implement direct marketing methods to increase profitability",,Indonesia,Headquarters,02-Mar-2021,02-Mar-2021,,1,Marketing (Mikhael Gaery Undarsa),,EE
R-473,Head of Customer Care Operations,"<p>1. Improve customer service experience, create engaged customers and facilitate organic growth<br />2. Take ownership of customers issues and follow problems through to resolution<br />3. Set a clear mission and deploy strategies focused towards that mission<br />4. Develop service procedures, policies and standards<br />5. Keep accurate records and document customer service actions and discussions<br />6. Analyse statistics and compile accurate reports<br />7. Keep ahead of industry’s developments and apply best practices to areas of improvement<br />8. Control resources and utilise assets to achieve qualitative and quantitative targets<br />10. Adhere to and manage the approved budget<br />11. Maintain an orderly workflow according to priorities</p>","To provide excellent customer service and to promote this idea throughout the organisation. The goal is to keep the department running in an efficient and profitable manner, to increase customer satisfaction, loyalty and retention and to meet their expectations.",,Indonesia,KS Tubun Office,19-Mar-2021,19-Mar-2021,,1,Operations (George Hendrata (Inherited)),,EE
R-497,Software Engineer II,"Responsible for designing, building, improving, or maintaining web/mobile applications, third-party data integration, data API, backend/frontend systems, or working with monitoring tools and infrastructure with minimum supervision",Responsible to develop software solution to support tiket.com to be the most customer centric OTA,,Indonesia,Headquarters,02-Jun-2021,02-Jun-2021,,1,Technology (Sanjay Singh),,EE
R-498,Software Engineer II,"Responsible for designing, building, improving, or maintaining web/mobile applications, third-party data integration, data API, backend/frontend systems, or working with monitoring tools and infrastructure with minimum supervision",Responsible to develop software solution to support tiket.com to be the most customer centric OTA,,Indonesia,GNT Office,02-Jun-2021,02-Jun-2021,,1,Technology (Sanjay Singh),,EE
R-509,Technical Lead,"<p>Responsible for designing, building, improving, or maintaining tiket.com products and systems and also managing a team (or teams) of engineers, growing and empowering them to accomplish great things, and ensuring that best practices, standards, and processes are adhered to.</p>",Responsible to develop software solution to support tiket.com to be the most customer centric OTA,,Indonesia,Jogja Office,24-Jun-2021,24-Jun-2021,,1,Technology (Sanjay Singh),,EE
R-510,Software Engineer I,"Responsible for designing, building, improving, or maintaining web/mobile applications, third-party data integration, data API, backend/frontend systems, or working with monitoring tools and infrastructure with undersupervision",Responsible to develop software solution to support tiket.com to be the most customer centric OTA,,Indonesia,Headquarters,29-Jun-2021,29-Jun-2021,,1,Technology (Sanjay Singh),,EE
R-511,Software Engineer II,"Responsible for designing, building, improving, or maintaining web/mobile applications, third-party data integration, data API, backend/frontend systems, or working with monitoring tools and infrastructure with minimum supervision",Responsible to develop software solution to support tiket.com to be the most customer centric OTA,,Indonesia,Headquarters,29-Jun-2021,29-Jun-2021,,1,Technology (Sanjay Singh),,EE
R-512,Software Engineer II,"Responsible for designing, building, improving, or maintaining web/mobile applications, third-party data integration, data API, backend/frontend systems, or working with monitoring tools and infrastructure with minimum supervision",Responsible to develop software solution to support tiket.com to be the most customer centric OTA,,Indonesia,Headquarters,29-Jun-2021,29-Jun-2021,,1,Technology (Sanjay Singh),,EE
R-514,Business Intelligence Lead I,"1. Collect, analyzes, and shares data to help business teams drive improvement in key business metrics, customer experience, and business results.
2. Works with the BI Analyst during implementation, gathering additional information when needed and keeping the business informed.
3. Implements data structures using best practices in data modeling, processes and technologies.
4. Perform data conversions, imports, and exports of data within and between internal and external software systems.
5. Explores the data and discovers patterns, meaningful relationships, anomalies and trends.
6. Performs programming analysis for a wide range of requests using data in differen
7. Implements tools and frameworks for automating report generations, identification of data-quality issues, and data governance.
8. Enhances the performance of business intelligence tools by defining data to filter and indexes.
9. Designs and delivers end-users training and training materials. Trains users to transform data into action-oriented information and to use that information correctly.
10. Create planning and monitoring team performance. Develop, manage, and evaluate team to achieve expected result. 
11. Gives direct and constructive feedback to other team member
12. Shares technical context and direction for less experienced team member","Responsible for the full life cycle development, implementation, production support, and performance turning of the Enterprise Data Warehouse, Data Mart, and Business Intelligence Reporting environments, and support the integration of those system with other applications. Design and implement reporting and analytical solutions to help business team drive improvement in key business metrics, customer experience and business results.",,Indonesia,Headquarters,29-Jun-2021,29-Jun-2021,,1,Technology (Sanjay Singh),,EE
R-516,Software Engineer II,"Responsible for designing, building, improving, or maintaining web/mobile applications, third-party data integration, data API, backend/frontend systems, or working with monitoring tools and infrastructure with minimum supervision",Responsible to develop software solution to support tiket.com to be the most customer centric OTA,,Indonesia,GNT Office,29-Jun-2021,29-Jun-2021,,1,Technology (Sanjay Singh),,EE
R-530,Software Engineer II,"Responsible for designing, building, improving, or maintaining web/mobile applications, third-party data integration, data API, backend/frontend systems, or working with monitoring tools and infrastructure with minimum supervision",Responsible to develop software solution to support tiket.com to be the most customer centric OTA,,Indonesia,GNT Office,08-Jul-2021,08-Jul-2021,,1,Technology (Sanjay Singh),,EE
R-531,Software Engineer II,"Responsible for designing, building, improving, or maintaining web/mobile applications, third-party data integration, data API, backend/frontend systems, or working with monitoring tools and infrastructure with minimum supervision",Responsible to develop software solution to support tiket.com to be the most customer centric OTA,,Indonesia,GNT Office,08-Jul-2021,08-Jul-2021,,1,Technology (Sanjay Singh),,EE
R-532,Software Engineer II,"Responsible for designing, building, improving, or maintaining web/mobile applications, third-party data integration, data API, backend/frontend systems, or working with monitoring tools and infrastructure with minimum supervision",Responsible to develop software solution to support tiket.com to be the most customer centric OTA,,Indonesia,GNT Office,09-Jul-2021,09-Jul-2021,,1,Technology (Sanjay Singh),,EE
R-77,Frontend Engineer,"<p>Responsible for designing, building, improving, or maintaining web/mobile applications, third-party data integration, data API, backend/frontend systems, or working with monitoring tools and infrastructure with minimum supervision</p>",To develop software solution to support tiket.com to be the most customer centric OTA,,Indonesia,GNT Office,19-Jan-2020,20-Jan-2020,,1,Technology (Sanjay Singh),https://tiketdotcom.wd3.myworkdayjobs.com/Tiket_Careers/job/GNT-Office/Frontend-Engineer_R-77/apply,EE
